,Statement,Response
82,Please respond.,"The secretary said very strongly about working with -- we've been working with them for many years, and we have the greatest mess anyone's ever seen. You look at the Middle East, it's a total mess. Under your direction, to a large extent. But you look at the Middle East, you started the Iran deal, that's another beauty where you have a country that was ready to fall, I mean, they were doing so badly. They were choking on the sanctions. And now they're going to be actually probably a major power at some point pretty soon, the way they're going. But when you look at NATO, I was asked on a major show, what do you think of NATO? And you have to understand, I'm a businessperson. I did really well. But I have common sense. And I said, well, I'll tell you. I haven't given lots of thought to NATO. But two things. Number one, the 28 countries of NATO, many of them aren't paying their fair share. Number two -- and that bothers me, because we should be asking -- we're defending them, and they should at least be paying us what they're supposed to be paying by treaty and contract. And, number two, I said, and very strongly, NATO could be obsolete, because -- and I was very strong on this, and it was actually covered very accurately in the New York Times, which is unusual for the New York Times, to be honest -- but I said, they do not focus on terror. And I was very strong. And I said it numerous times. And about four months ago, I read on the front page of the Wall Street Journal that NATO is opening up a major terror division. And I think that's great. And I think we should get -- because we pay approximately 73 percent of the cost of NATO. It's a lot of money to protect other people. But I'm all for NATO. But I said they have to focus on terror, also. And they're going to do that. And that was -- believe me -- I'm sure I'm not going to get credit for it -- but that was largely because of what I was saying and my criticism of NATO. I think we have to get NATO to go into the Middle East with us, in addition to surrounding nations, and we have to knock the hell out of ISIS, and we have to do it fast, when ISIS formed in this vacuum created by Barack Obama and Secretary Clinton. And believe me, you were the ones that took out the troops. Not only that, you named the day. They couldn't believe it. They sat back probably and said, I can't believe it. They said..."
83,"Lester, we've covered...","No, wait a minute."
84,We've covered this ground.,"When they formed, when they formed, this is something that never should have happened. It should have never happened. Now, you're talking about taking out ISIS. But you were there, and you were secretary of state when it was a little infant. Now it's in over 30 countries. And you're going to stop them? I don't think so."
85,"Mr. Trump, a lot of these are judgment questions. You had supported the war in Iraq before the invasion. What makes your...",I did not support the war in Iraq.
86,In 2002...,"That is a mainstream media nonsense put out by her, because she -- frankly, I think the best person in her campaign is mainstream media."
87,"My question is, since you supported it...",Just -- would you like to hear...
88,... why is your -- why is your judgment...,Wait a minute. I was against the war in Iraq. Just so you put it out.
89,"The record shows otherwise, but why -- why was...",The record does not show that.
90,Why was -- is your judgment any...,"The record shows that I'm right. When I did an interview with Howard Stern, very lightly, first time anyone's asked me that, I said, very lightly, I don't know, maybe, who knows? Essentially. I then did an interview with Neil Cavuto. We talked about the economy is more important. I then spoke to Sean Hannity, which everybody refuses to call Sean Hannity. I had numerous conversations with Sean Hannity at Fox. And Sean Hannity said -- and he called me the other day -- and I spoke to him about it -- he said you were totally against the war, because he was for the war."
91,Why is your judgment better than...,"And when he -- excuse me. And that was before the war started. Sean Hannity said very strongly to me and other people -- he's willing to say it, but nobody wants to call him. I was against the war. He said, you used to have fights with me, because Sean was in favor of the war. And I understand that side, also, not very much, because we should have never been there. But nobody called Sean Hannity. And then they did an article in a major magazine, shortly after the war started. I think in '04. But they did an article which had me totally against the war in Iraq. And one of your compatriots said, you know, whether it was before or right after, Trump was definitely -- because if you read this article, there's no doubt. But if somebody -- and I'll ask the press -- if somebody would call up Sean Hannity, this was before the war started. He and I used to have arguments about the war. I said, it's a terrible and a stupid thing. It's going to destabilize the Middle East. And that's exactly what it's done. It's been a disaster."
92,"My reference was to what you had said in 2002, and my question was...","No, no. You didn't hear what I said."
93,Why is your judgment -- why is your judgment any different than Mrs. Clinton's judgment?,"Well, I have much better judgment than she does. There's no question about that. I also have a much better temperament than she has, you know?"
94,(LAUGHTER),"I have a much better -- she spent -- let me tell you -- she spent hundreds of millions of dollars on an advertising -- you know, they get Madison Avenue into a room, they put names -- oh, temperament, let's go after -- I think my strongest asset, maybe by far, is my temperament. I have a winning temperament. I know how to win. She does not have a..."
95,Secretary Clinton?,"Wait. The AFL-CIO the other day, behind the blue screen, I don't know who you were talking to, Secretary Clinton, but you were totally out of control. I said, there's a person with a temperament that's got a problem."
96,"Let's talk about two important issues that were briefly mentioned by Donald, first, NATO. You know, NATO as a military alliance has something called Article 5, and basically it says this: An attack on one is an attack on all. And you know the only time it's ever been invoked? After 9/11, when the 28 nations of NATO said that they would go to Afghanistan with us to fight terrorism, something that they still are doing by our side. With respect to Iran, when I became secretary of state, Iran was weeks away from having enough nuclear material to form a bomb. They had mastered the nuclear fuel cycle under the Bush administration. They had built covert facilities. They had stocked them with centrifuges that were whirling away. And we had sanctioned them. I voted for every sanction against Iran when I was in the Senate, but it wasn't enough. So I spent a year-and-a-half putting together a coalition that included Russia and China to impose the toughest sanctions on Iran. And we did drive them to the negotiating table. And my successor, John Kerry, and President Obama got a deal that put a lid on Iran's nuclear program without firing a single shot. That's diplomacy. That's coalition-building. That's working with other nations. The other day, I saw Donald saying that there were some Iranian sailors on a ship in the waters off of Iran, and they were taunting American sailors who were on a nearby ship. He said, you know, if they taunted our sailors, I'd blow them out of the water and start another war. That's not good judgment.",That would not start a war.
97,"That is not the right temperament to be commander-in- chief, to be taunted. And the worst part...","No, they were taunting us."
98,"... of what we heard Donald say has been about nuclear weapons. He has said repeatedly that he didn't care if other nations got nuclear weapons, Japan, South Korea, even Saudi Arabia. It has been the policy of the United States, Democrats and Republicans, to do everything we could to reduce the proliferation of nuclear weapons. He even said, well, you know, if there were nuclear war in East Asia, well, you know, that's fine...",Wrong.
99,"... have a good time, folks.",It's lies.
100,"And, in fact, his cavalier attitude about nuclear weapons is so deeply troubling. That is the number-one threat we face in the world. And it becomes particularly threatening if terrorists ever get their hands on any nuclear material. So a man who can be provoked by a tweet should not have his fingers anywhere near the nuclear codes, as far as I think anyone with any sense about this should be concerned.","That line's getting a little bit old, I must say. I would like to..."
101,(LAUGHTER),"It's not an accurate one at all. It's not an accurate one. So I just want to give a lot of things -- and just to respond. I agree with her on one thing. The single greatest problem the world has is nuclear armament, nuclear weapons, not global warming, like you think and your -- your president thinks. Nuclear is the single greatest threat. Just to go down the list, we defend Japan, we defend Germany, we defend South Korea, we defend Saudi Arabia, we defend countries. They do not pay us. But they should be paying us, because we are providing tremendous service and we're losing a fortune. That's why we're losing -- we're losing -- we lose on everything. I say, who makes these -- we lose on everything. All I said, that it's very possible that if they don't pay a fair share, because this isn't 40 years ago where we could do what we're doing. We can't defend Japan, a behemoth, selling us cars by the million..."
102,We need to move on.,"Well, wait, but it's very important. All I said was, they may have to defend themselves or they have to help us out. We're a country that owes $20 trillion. They have to help us out."
103,Our last...,"As far as the nuclear is concerned, I agree. It is the single greatest threat that this country has."
104,"Which leads to my next question, as we enter our last segment here (inaudible) the subject of securing America. On nuclear weapons, President Obama reportedly considered changing the nation's longstanding policy on first use. Do you support the current policy? Mr. Trump, you have two minutes on that.","Well, I have to say that, you know, for what Secretary Clinton was saying about nuclear with Russia, she's very cavalier in the way she talks about various countries. But Russia has been expanding their -- they have a much newer capability than we do. We have not been updating from the new standpoint. I looked the other night. I was seeing B-52s, they're old enough that your father, your grandfather could be flying them. We are not -- we are not keeping up with other countries. I would like everybody to end it, just get rid of it. But I would certainly not do first strike. I think that once the nuclear alternative happens, it's over. At the same time, we have to be prepared. I can't take anything off the table. Because you look at some of these countries, you look at North Korea, we're doing nothing there. China should solve that problem for us. China should go into North Korea. China is totally powerful as it relates to North Korea. And by the way, another one powerful is the worst deal I think I've ever seen negotiated that you started is the Iran deal. Iran is one of their biggest trading partners. Iran has power over North Korea. And when they made that horrible deal with Iran, they should have included the fact that they do something with respect to North Korea. And they should have done something with respect to Yemen and all these other places. And when asked to Secretary Kerry, why didn't you do that? Why didn't you add other things into the deal? One of the great giveaways of all time, of all time, including $400 million in cash. Nobody's ever seen that before. That turned out to be wrong. It was actually $1.7 billion in cash, obviously, I guess for the hostages. It certainly looks that way. So you say to yourself, why didn't they make the right deal? This is one of the worst deals ever made by any country in history. The deal with Iran will lead to nuclear problems. All they have to do is sit back 10 years, and they don't have to do much."
105,Your two minutes is expired.,"And they're going to end up getting nuclear. I met with Bibi Netanyahu the other day. Believe me, he's not a happy camper."
106,... is expired.,"Lester, one thing I'd like to say."
107,Very quickly. Twenty seconds.,"I will go very quickly. But I will tell you that Hillary will tell you to go to her website and read all about how to defeat ISIS, which she could have defeated by never having it, you know, get going in the first place. Right now, it's getting tougher and tougher to defeat them, because they're in more and more places, more and more states, more and more nations."
108,Mr. Trump...,"And it's a big problem. And as far as Japan is concerned, I want to help all of our allies, but we are losing billions and billions of dollars. We cannot be the policemen of the world. We cannot protect countries all over the world..."
109,We have just...,... where they're not paying us what we need.
110,We have just a few final questions...,"And she doesn't say that, because she's got no business ability. We need heart. We need a lot of things. But you have to have some basic ability. And sadly, she doesn't have that. All of the things that she's talking about could have been taken care of during the last 10 years, let's say, while she had great power. But they weren't taken care of. And if she ever wins this race, they won't be taken care of."
111,"Mr. Trump, this year Secretary Clinton became the first woman nominated for president by a major party. Earlier this month, you said she doesn't have, quote, ""a presidential look."" She's standing here right now. What did you mean by that?","She doesn't have the look. She doesn't have the stamina. I said she doesn't have the stamina. And I don't believe she does have the stamina. To be president of this country, you need tremendous stamina."
112,"The quote was, ""I just don't think she has the presidential look.""","You have -- wait a minute. Wait a minute, Lester. You asked me a question. Did you ask me a question? You have to be able to negotiate our trade deals. You have to be able to negotiate, that's right, with Japan, with Saudi Arabia. I mean, can you imagine, we're defending Saudi Arabia? And with all of the money they have, we're defending them, and they're not paying? All you have to do is speak to them. Wait. You have so many different things you have to be able to do, and I don't believe that Hillary has the stamina."
113,(APPLAUSE),"The world -- let me tell you. Let me tell you. Hillary has experience, but it's bad experience. We have made so many bad deals during the last -- so she's got experience, that I agree."
114,(APPLAUSE),"But it's bad, bad experience. Whether it's the Iran deal that you're so in love with, where we gave them $150 billion back, whether it's the Iran deal, whether it's anything you can -- name -- you almost can't name a good deal. I agree. She's got experience, but it's bad experience. And this country can't afford to have another four years of that kind of experience."
115,"You know, he tried to switch from looks to stamina. But this is a man who has called women pigs, slobs and dogs, and someone who has said pregnancy is an inconvenience to employers, who has said...",I never said that.
116,.... women don't deserve equal pay unless they do as good a job as men.,I didn't say that.
117,"And one of the worst things he said was about a woman in a beauty contest. He loves beauty contests, supporting them and hanging around them. And he called this woman ""Miss Piggy."" Then he called her ""Miss Housekeeping,"" because she was Latina. Donald, she has a name.",Where did you find this? Where did you find this?
118,Her name is Alicia Machado.,Where did you find this?
119,"And she has become a U.S. citizen, and you can bet...","Oh, really?"
120,... she's going to vote this November.,"OK, good. Let me just tell you..."
121,"Mr. Trump, could we just take 10 seconds and then we ask the final question...","You know, Hillary is hitting me with tremendous commercials. Some of it's said in entertainment. Some of it's said -- somebody who's been very vicious to me, Rosie O'Donnell, I said very tough things to her, and I think everybody would agree that she deserves it and nobody feels sorry for her. But you want to know the truth? I was going to say something..."
122,Please very quickly.,"... extremely rough to Hillary, to her family, and I said to myself, ""I can't do it. I just can't do it. It's inappropriate. It's not nice."" But she spent hundreds of millions of dollars on negative ads on me, many of which are absolutely untrue. They're untrue. And they're misrepresentations. And I will tell you this, Lester: It's not nice. And I don't deserve that. But it's certainly not a nice thing that she's done. It's hundreds of millions of ads. And the only gratifying thing is, I saw the polls come in today, and with all of that money..."
123,We have to move on to the final question.,"... $200 million is spent, and I'm either winning or tied, and I've spent practically nothing."
124,"Mr. Trump, very quickly, same question. Will you accept the outcome as the will of the voters? TRUMP:","The other day, we were deporting 800 people. And perhaps they passed the wrong button, they pressed the wrong button, or perhaps worse than that, it was corruption, but these people that we were going to deport for good reason ended up becoming citizens. Ended up becoming citizens. And it was 800. And now it turns out it might be 1,800, and they don't even know."
125,Will you accept the outcome of the election?,"Look, here's the story. I want to make America great again. I'm going to be able to do it. I don't believe Hillary will. The answer is, if she wins, I will absolutely support her."
126,"Secretary Clinton, thank you. Mr. Trump, you have two minutes. ","Well, I actually agree with that. I agree with everything she said. I began this campaign because I was so tired of seeing such foolish things happen to our country. This is a great country. This is a great land. I've gotten to know the people of the country over the last year-and-a-half that I've been doing this as a politician. I cannot believe I'm saying that about myself, but I guess I have been a politician. "
127,"Thank you, Mr. Trump. The question from Patrice was about are you both modeling positive and appropriate behavior for today's youth? We received a lot of questions online, Mr. Trump, about the tape that was released on Friday, as you can imagine. You called what you said locker room banter. You described kissing women without consent, grabbing their genitals. That is sexual assault. You bragged that you have sexually assaulted women. Do you understand that? ","No, I didn't say that at all. I don't think you understood what was -- this was locker room talk. I'm not proud of it. I apologize to my family. I apologize to the American people. Certainly I'm not proud of it. But this is locker room talk. You know, when we have a world where you have ISIS chopping off heads, where you have -- and, frankly, drowning people in steel cages, where you have wars and horrible, horrible sights all over, where you have so many bad things happening, this is like medieval times. We haven't seen anything like this, the carnage all over the world. And they look and they see. Can you imagine the people that are, frankly, doing so well against us with ISIS? And they look at our country and they see what's going on. Yes, I'm very embarrassed by it. I hate it. But it's locker room talk, and it's one of those things. I will knock the hell out of ISIS. We're going to defeat ISIS. ISIS happened a number of years ago in a vacuum that was left because of bad judgment. And I will tell you, I will take care of ISIS. "
128,"So, Mr. Trump... ",And we should get on to much more important things and much bigger things.
129,"Just for the record, though, are you saying that what you said on that bus 11 years ago that you did not actually kiss women without consent or grope women without consent? ",I have great respect for women. Nobody has more respect for women than I do.
130,"So, for the record, you're saying you never did that? ","I've said things that, frankly, you hear these things I said. And I was embarrassed by it. But I have tremendous respect for women. "
131,Have you ever done those things?,"And women have respect for me. And I will tell you: No, I have not. And I will tell you that I'm going to make our country safe. We're going to have borders in our country, which we don't have now. People are pouring into our country, and they're coming in from the Middle East and other places. We're going to make America safe again. We're going to make America great again, but we're going to make America safe again. And we're going to make America wealthy again, because if you don't do that, it just -- it sounds harsh to say, but we have to build up the wealth of our nation. "
132,"Thank you, Mr. Trump. ","Right now, other nations are taking our jobs and they're taking our wealth. "
133,"Thank you, Mr. Trump. ",And that's what I want to talk about.
134,And we want to get to some questions from online...,Am I allowed to respond to that? I assume I am.
135,"Yes, you can respond to that. ","It's just words, folks. It's just words. Those words, I've been hearing them for many years. I heard them when they were running for the Senate in New York, where Hillary was going to bring back jobs to upstate New York and she failed. I've heard them where Hillary is constantly talking about the inner cities of our country, which are a disaster education-wise, jobwise, safety-wise, in every way possible. I'm going to help the African-Americans. I'm going to help the Latinos, Hispanics. I am going to help the inner cities. She's done a terrible job for the African-Americans. She wants their vote, and she does nothing, and then she comes back four years later. We saw that firsthand when she was United States senator. She campaigned where the primary part of her campaign... "
136,"Mr. Trump, Mr. Trump -- I want to get to audience questions and online questions. ","So, she's allowed to do that, but I'm not allowed to respond? "
137,You're going to have -- you're going to get to respond right now.,Sounds fair.
138,"This tape is generating intense interest. In just 48 hours, it's become the single most talked about story of the entire 2016 election on Facebook, with millions and millions of people discussing it on the social network. As we said a moment ago, we do want to bring in questions from voters around country via social media, and our first stays on this topic. Jeff from Ohio asks on Facebook, ""Trump says the campaign has changed him. When did that happen?"" So, Mr. Trump, let me add to that. When you walked off that bus at age 59, were you a different man or did that behavior continue until just recently? And you have two minutes for this. ","It was locker room talk, as I told you. That was locker room talk. I'm not proud of it. I am a person who has great respect for people, for my family, for the people of this country. And certainly, I'm not proud of it. But that was something that happened. If you look at Bill Clinton, far worse. Mine are words, and his was action. His was what he's done to women. There's never been anybody in the history politics in this nation that's been so abusive to women. So you can say any way you want to say it, but Bill Clinton was abusive to women. Hillary Clinton attacked those same women and attacked them viciously. Four of them here tonight. One of the women, who is a wonderful woman, at 12 years old, was raped at 12. Her client she represented got him off, and she's seen laughing on two separate occasions, laughing at the girl who was raped. Kathy Shelton, that young woman is here with us tonight. So don't tell me about words. I am absolutely -- I apologize for those words. But it is things that people say. But what President Clinton did, he was impeached, he lost his license to practice law. He had to pay an $850,000 fine to one of the women. Paula Jones, who's also here tonight. And I will tell you that when Hillary brings up a point like that and she talks about words that I said 11 years ago, I think it's disgraceful, and I think she should be ashamed of herself, if you want to know the truth."
139,"He never apologized to Mr. and Mrs. Khan, the Gold Star family whose son, Captain Khan, died in the line of duty in Iraq. And Donald insulted and attacked them for weeks over their religion. He never apologized to the distinguished federal judge who was born in Indiana, but Donald said he couldn't be trusted to be a judge because his parents were, quote, ""Mexican."" He never apologized to the reporter that he mimicked and mocked on national television and our children were watching. And he never apologized for the racist lie that President Obama was not born in the United States of America. He owes the president an apology, he owes our country an apology, and he needs to take responsibility for his actions and his words. ","Well, you owe the president an apology, because as you know very well, your campaign, Sidney Blumenthal -- he's another real winner that you have -- and he's the one that got this started, along with your campaign manager, and they were on television just two weeks ago, she was, saying exactly that. So you really owe him an apology. You're the one that sent the pictures around your campaign, sent the pictures around with President Obama in a certain garb. That was long before I was ever involved, so you actually owe an apology. Number two, Michelle Obama. I've gotten to see the commercials that they did on you. And I've gotten to see some of the most vicious commercials I've ever seen of Michelle Obama talking about you, Hillary. So, you talk about friend? Go back and take a look at those commercials, a race where you lost fair and square, unlike the Bernie Sanders race, where you won, but not fair and square, in my opinion. And all you have to do is take a look at WikiLeaks and just see what they say about Bernie Sanders and see what Deborah Wasserman Schultz had in mind, because Bernie Sanders, between super-delegates and Deborah Wasserman Schultz, he never had a chance. And I was so surprised to see him sign on with the devil. But when you talk about apology, I think the one that you should really be apologizing for and the thing that you should be apologizing for are the 33,000 e-mails that you deleted, and that you acid washed, and then the two boxes of e-mails and other things last week that were taken from an office and are now missing. And I'll tell you what. I didn't think I'd say this, but I'm going to say it, and I hate to say it. But if I win, I am going to instruct my attorney general to get a special prosecutor to look into your situation, because there has never been so many lies, so much deception. There has never been anything like it, and we're going to have a special prosecutor. When I speak, I go out and speak, the people of this country are furious. In my opinion, the people that have been long-term workers at the FBI are furious. There has never been anything like this, where e-mails -- and you get a subpoena, you get a subpoena, and after getting the subpoena, you delete 33,000 e-mails, and then you acid wash them or bleach them, as you would say, very expensive process. So we're going to get a special prosecutor, and we're going to look into it, because you know what? People have been -- their lives have been destroyed for doing one-fifth of what you've done. And it's a disgrace. And honestly, you ought to be ashamed of yourself. "
140,"... because everything he just said is absolutely false, but I'm not surprised. ","Oh, really? "
141,"... I told people that it would be impossible to be fact-checking Donald all the time. I'd never get to talk about anything I want to do and how we're going to really make lives better for people. So, once again, go to HillaryClinton.com. We have literally Trump -- you can fact check him in real time. Last time at the first debate, we had millions of people fact checking, so I expect we'll have millions more fact checking, because, you know, it is -- it's just awfully good that someone with the temperament of Donald Trump is not in charge of the law in our country. ",Because you'd be in jail.
142,"OK, we're going to move on. ","And yet she didn't know the word -- the letter C on a document. Right? She didn't even know what that word -- what that letter meant. You know, it's amazing. I'm watching Hillary go over facts. And she's going after fact after fact, and she's lying again, because she said she -- you know, what she did with the e-mail was fine. You think it was fine to delete 33,000 e-mails? I don't think so. She said the 33,000 e-mails had to do with her daughter's wedding, number one, and a yoga class. Well, maybe we'll give three or three or four or five or something. 33,000 e-mails deleted, and now she's saying there wasn't anything wrong. And more importantly, that was after getting a subpoena. That wasn't before. That was after. She got it from the United States Congress. And I'll be honest, I am so disappointed in congressmen, including Republicans, for allowing this to happen. Our Justice Department, where our husband goes on to the back of a airplane for 39 minutes, talks to the attorney general days before a ruling is going to be made on her case. But for you to say that there was nothing wrong with you deleting 39,000 e-mails, again, you should be ashamed of yourself. What you did -- and this is after getting a subpoena from the United States Congress. "
143,We have to move on.,You did that. Wait a minute. One second.
144,We want to give the audience a chance.,"If you did that in the private sector, you'd be put in jail, let alone after getting a subpoena from the United States Congress. "
145,"Look, it's just not true. And so please, go to... ","Oh, you didn't delete them? "
146,"It was personal e-mails, not official. ","Oh, 33,000? Yeah. "
147,"Not -- well, we turned over 35,000, so... ","Oh, yeah. What about the other 15,000? "
148,"Yes, that's true, I didn't. ",Because you have nothing to say.
149,"I didn't in the first debate, and I'm going to try not to in this debate, because I'd like to get to the questions that the people have brought here tonight to talk to us about. ",Get off this question.
150,"OK, Donald. I know you're into big diversion tonight, anything to avoid talking about your campaign and the way it's exploding and the way Republicans are leaving you. But let's at least focus... ",Let's see what happens
151,We have a question here from Ken Karpowicz. He has a question about health care. Ken?,"I'd like to know, Anderson, why aren't you bringing up the e-mails? I'd like to know. Why aren't you bringing... "
152,We brought up the e-mails.,"No, it hasn't. It hasn't. And it hasn't been finished at all. "
153,Ken Karpowicz has a question.,It's nice to -- one on three.
154,"If he wants to start, he can start. No, go ahead, Donald. ","No, I'm a gentlemen, Hillary. Go ahead."
155,"Mr. Trump, you have two minutes. ","It is such a great question and it's maybe the question I get almost more than anything else, outside of defense. Obamacare is a disaster. You know it. We all know it. It's going up at numbers that nobody's ever seen worldwide. Nobody's ever seen numbers like this for health care. It's only getting worse. In '17, it implodes by itself. Their method of fixing it is to go back and ask Congress for more money, more and more money. We have right now almost $20 trillion in debt. Obamacare will never work. It's very bad, very bad health insurance. Far too expensive. And not only expensive for the person that has it, unbelievably expensive for our country. It's going to be one of the biggest line items very shortly. We have to repeal it and replace it with something absolutely much less expensive and something that works, where your plan can actually be tailored. We have to get rid of the lines around the state, artificial lines, where we stop insurance companies from coming in and competing, because they want -- and President Obama and whoever was working on it -- they want to leave those lines, because that gives the insurance companies essentially monopolies. We want competition. You will have the finest health care plan there is. She wants to go to a single-payer plan, which would be a disaster, somewhat similar to Canada. And if you haven't noticed the Canadians, when they need a big operation, when something happens, they come into the United States in many cases because their system is so slow. It's catastrophic in certain ways. But she wants to go to single payer, which means the government basically rules everything. Hillary Clinton has been after this for years. Obamacare was the first step. Obamacare is a total disaster. And not only are your rates going up by numbers that nobody's ever believed, but your deductibles are going up, so that unless you get hit by a truck, you're never going to be able to use it. "
156,"Mr. Trump, your time... ","It is a disastrous plan, and it has to be repealed and replaced. "
157,"Mr. Trump, let me follow up on this. ","Well, I just want -- just one thing. First of all, Hillary, everything's broken about it. Everything. Number two, Bernie Sanders said that Hillary Clinton has very bad judgment. This is a perfect example of it, trying to save Obamacare, which is a disaster. "
158,You've said you want to end Obamacare...,By the way...
159,You've said you want to end Obamacare. You've also said you want to make coverage accessible for people with pre-existing conditions. How do you force insurance companies to do that if you're no longer mandating that every American get insurance?,We're going to be able to. You're going to have plans...
160,What does that mean?,"Well, I'll tell you what it means. You're going to have plans that are so good, because we're going to have so much competition in the insurance industry. Once we break out -- once we break out the lines and allow the competition to come... "
161,Are you going -- are you going to have a mandate that Americans have to have health insurance?,"President Obama -- Anderson, excuse me. President Obama, by keeping those lines, the boundary lines around each state, it was almost gone until just very toward the end of the passage of Obamacare, which, by the way, was a fraud. You know that, because Jonathan Gruber, the architect of Obamacare, was said -- he said it was a great lie, it was a big lie. President Obama said you keep your doctor, you keep your plan. The whole thing was a fraud, and it doesn't work. But when we get rid of those lines, you will have competition, and we will be able to keep pre-existing, we'll also be able to help people that can't get -- don't have money because we are going to have people protected. And Republicans feel this way, believe it or not, and strongly this way. We're going to block grant into the states. We're going to block grant into Medicaid into the states... "
162,"Thank you, Mr. Trump. ",... so that we will be able to take care of people without the necessary funds to take care of themselves.
163,"Mr. Trump, you're first. ","Well, you're right about Islamophobia, and that's a shame. But one thing we have to do is we have to make sure that -- because there is a problem. I mean, whether we like it or not, and we could be very politically correct, but whether we like it or not, there is a problem. And we have to be sure that Muslims come in and report when they see something going on. When they see hatred going on, they have to report it. As an example, in San Bernardino, many people saw the bombs all over the apartment of the two people that killed 14 and wounded many, many people. Horribly wounded. They'll never be the same. Muslims have to report the problems when they see them. And, you know, there's always a reason for everything. If they don't do that, it's a very difficult situation for our country, because you look at Orlando and you look at San Bernardino and you look at the World Trade Center. Go outside. Look at Paris. Look at that horrible -- these are radical Islamic terrorists. And she won't even mention the word and nor will President Obama. He won't use the term ""radical Islamic terrorism."" Now, to solve a problem, you have to be able to state what the problem is or at least say the name. She won't say the name and President Obama won't say the name. But the name is there. It's radical Islamic terror. And before you solve it, you have to say the name. "
164,"Thank you, Secretary Clinton. Mr. Trump, in December, you said this. ""Donald J. Trump is calling for a total and complete shutdown of Muslims entering the United States until our country's representatives can figure out what the hell is going on. We have no choice. We have no choice."" Your running mate said this week that the Muslim ban is no longer your position. Is that correct? And if it is, was it a mistake to have a religious test? ","First of all, Captain Khan is an American hero, and if I were president at that time, he would be alive today, because unlike her, who voted for the war without knowing what she was doing, I would not have had our people in Iraq. Iraq was disaster. So he would have been alive today. The Muslim ban is something that in some form has morphed into a extreme vetting from certain areas of the world. Hillary Clinton wants to allow hundreds of thousands -- excuse me. Excuse me.. "
165,"And why did it morph into that? No, did you -- no, answer the question. Do you still believe... ",Why don't you interrupt her? You interrupt me all the time.
166,I do.,Why don't you interrupt her?
167,Would you please explain whether or not the Muslim ban still stands?,"It's called extreme vetting. We are going to areas like Syria where they're coming in by the tens of thousands because of Barack Obama. And Hillary Clinton wants to allow a 550 percent increase over Obama. People are coming into our country like we have no idea who they are, where they are from, what their feelings about our country is, and she wants 550 percent more. This is going to be the great Trojan horse of all time. We have enough problems in this country. I believe in building safe zones. I believe in having other people pay for them, as an example, the Gulf states, who are not carrying their weight, but they have nothing but money, and take care of people. But I don't want to have, with all the problems this country has and all of the problems that you see going on, hundreds of thousands of people coming in from Syria when we know nothing about them. We know nothing about their values and we know nothing about their love for our country. "
168,"Well, first of all, I will not let anyone into our country that I think poses a risk to us. But there are a lot of refugees, women and children -- think of that picture we all saw of that 4-year-old boy with the blood on his forehead because he'd been bombed by the Russian and Syrian air forces. There are children suffering in this catastrophic war, largely, I believe, because of Russian aggression. And we need to do our part. We by no means are carrying anywhere near the load that Europe and others are. But we will have vetting that is as tough as it needs to be from our professionals, our intelligence experts and others. But it is important for us as a policy, you know, not to say, as Donald has said, we're going to ban people based on a religion. How do you do that? We are a country founded on religious freedom and liberty. How do we do what he has advocated without causing great distress within our own county? Are we going to have religious tests when people fly into our country? And how do we expect to be able to implement those? So I thought that what he said was extremely unwise and even dangerous. And indeed, you can look at the propaganda on a lot of the terrorists sites, and what Donald Trump says about Muslims is used to recruit fighters, because they want to create a war between us. And the final thing I would say, this is the 10th or 12th time that he's denied being for the war in Iraq. We have it on tape. The entire press corps has looked at it. It's been debunked, but it never stops him from saying whatever he wants to say. ",That's not been debunked.
169,"So, please... ",That has not been debunked.
170,... go to HillaryClinton.com and you can see it.,"I was against -- I was against the war in Iraq. Has not been debunked. And you voted for it. And you shouldn't have. Well, I just want to say... "
171,There's been lots of fact-checking on that. I'd like to move on to an online question...,Excuse me. She just went about 25 seconds over her time.
172,She did not.,"Could I just respond to this, please? "
173,"Very quickly, please. ","Hillary Clinton, in terms of having people come into our country, we have many criminal illegal aliens. When we want to send them back to their country, their country says we don't want them. In some cases, they're murderers, drug lords, drug problems. And they don't want them. And Hillary Clinton, when she was secretary of state, said that's OK, we can't force it into their country. Let me tell you, I'm going to force them right back into their country. They're murderers and some very bad people. And I will tell you very strongly, when Bernie Sanders said she had bad judgment, she has really bad judgment, because we are letting people into this country that are going to cause problems and crime like you've never seen. We're also letting drugs pour through our southern border at a record clip. At a record clip. And it shouldn't be allowed to happen. ICE just endorsed me. They've never endorsed a presidential candidate. The Border Patrol agents, 16,500, just recently endorsed me, and they endorsed me because I understand the border. She doesn't. She wants amnesty for everybody. Come right in. Come right over. It's a horrible thing she's doing. She's got bad judgment, and honestly, so bad that she should never be president of the United States. That I can tell you. "
174,Mr. Trump?,"Well, I think I should respond, because -- so ridiculous. Look, now she's blaming -- she got caught in a total lie. Her papers went out to all her friends at the banks, Goldman Sachs and everybody else, and she said things -- WikiLeaks that just came out. And she lied. Now she's blaming the lie on the late, great Abraham Lincoln. That's one that I haven't... "
